rxn_id,name,subsystem,baseline_flux,baseline_biomass,ko_status,ko_biomass,rel_biomass,drop_in_biomass,essential
MAR04269,ATP:NAD+ 2'-phosphotransferase,Nicotinate and nicotinamide metabolism,0.0003334878862207793,1.14956182771874,optimal,-4.508713308165447e-12,-3.922114669650096e-12,1.0000000000039222,True
MAR05423,,Transport reactions,0.03876322483067591,1.14956182771874,optimal,-3.012438057851065e-15,-2.6205098196667935e-15,1.0000000000000027,True
MAR08617,Triphosphate phosphohydrolase,Miscellaneous,4.759185966755585e-05,1.14956182771874,optimal,-2.5607291671025268e-15,-2.22756976211031e-15,1.0000000000000022,True
MAR06677,,Retinol metabolism,2.3726956124114794e-05,1.14956182771874,optimal,-2.126727605140771e-15,-1.8500332508092912e-15,1.0000000000000018,True
MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",Glycolysis / Gluconeogenesis,0.000778138401182815,1.14956182771874,optimal,-1.5580045787591163e-15,-1.355302986922343e-15,1.0000000000000013,True
MAR04204,ATP:thiamine diphosphotransferase,Thiamine metabolism,4.759185966755585e-05,1.14956182771874,optimal,-7.736778232109131e-16,-6.730197580988281e-16,1.0000000000000007,True
MAR06654,,Retinol metabolism,2.3726956124114794e-05,1.14956182771874,optimal,-6.602847355979119e-16,-5.743794893644136e-16,1.0000000000000007,True
MAR06634,,Retinol metabolism,4.759185966755584e-05,1.14956182771874,optimal,-7.77974781386762e-16,-6.767576676851058e-16,1.0000000000000007,True
MAR06438,,Transport reactions,-4.7591859667555836e-05,1.14956182771874,optimal,-3.89544078819481e-16,-3.388630949868228e-16,1.0000000000000004,True
MAR07861,,Transport reactions,0.009207990240027107,1.14956182771874,optimal,-5.135710691832924e-16,-4.467537602587709e-16,1.0000000000000004,True
MAR02143,,Vitamin D metabolism,2.3726956124114794e-05,1.14956182771874,optimal,0.0,0.0,1.0,True
MAR02144,,Vitamin D metabolism,2.3726956124114794e-05,1.14956182771874,optimal,0.0,0.0,1.0,True
MAR02145,,Vitamin D metabolism,2.372695612411479e-05,1.14956182771874,optimal,0.0,0.0,1.0,True
