rxn_id,name,subsystem,baseline_flux,baseline_biomass,ko_status,ko_biomass,rel_biomass,drop_in_biomass,essential
MAR04204,ATP:thiamine diphosphotransferase,Thiamine metabolism,4.5807995546739756e-05,1.106473322376394,optimal,-1.449158076552829e-14,-1.3097090072089982e-14,1.000000000000013,True
MAR07160,Deoxynucleoside triphosphate:DNA deoxynucleotidyltransferase,Nucleotide metabolism,0.02954283770744972,1.106473322376394,optimal,-6.4357818128264266e-15,-5.81648168344825e-15,1.0000000000000058,True
MAR06664,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,-4.15900076073806e-15,-3.758789910818359e-15,1.0000000000000038,True
MAR06634,,Retinol metabolism,4.580799554638271e-05,1.106473322376394,optimal,-3.80613356588175e-15,-3.4398782952193046e-15,1.0000000000000033,True
MAR06649,,Retinol metabolism,2.2837609373848773e-05,1.106473322376394,optimal,-1.9568035958056186e-15,-1.768504993507619e-15,1.0000000000000018,True
MAR00578,,Transport reactions,0.020069655710591994,1.106473322376394,optimal,-1.1441288528116296e-15,-1.0340320274097182e-15,1.000000000000001,True
MAR06677,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,-9.27035109933139e-16,-8.378287042132455e-16,1.0000000000000009,True
MAR07861,,Transport reactions,0.008862851312234916,1.106473322376394,optimal,-8.816698092511746e-16,-7.968287995932838e-16,1.0000000000000009,True
MAR07786,,Transport reactions,0.022386168258319204,1.106473322376394,optimal,-1.346408580047351e-16,-1.2168468528058528e-16,1.0000000000000002,True
MAR06642,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,0.0,0.0,1.0,True
MAR05149,L-Tryptophan -tRNA(Trp) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.05787685331020323,1.106473322376394,optimal,0.0,0.0,1.0,True
MAR05141,L-Leucine:tRNA(Leu) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.5380185037305627,1.106473322376394,optimal,0.0,0.0,1.0,True
MAR02136,,Vitamin D metabolism,2.2837609373848773e-05,1.106473322376394,optimal,0.0,0.0,1.0,True
MAR09269,Exchange of aquacob(III)alamin,Exchange/demand reactions,-4.580799554638272e-05,1.106473322376394,optimal,0.0,0.0,1.0,True
