reaction_id,reaction_name,subsystem,baseline_flux_rich,baseline_biomass_rich,ko_status,biomass_KO_rich,rel_biomass,drop_in_biomass,essential,is_essential_rich,biomass_KO_TME,is_essential_TME,baseline_biomass_TME,baseline_flux_TME,essentiality_class
MAR04204,ATP:thiamine diphosphotransferase,Thiamine metabolism,4.580799554673976e-05,1.106473322376394,optimal,-1.4491580765528292e-14,-1.3097090072089982e-14,1.000000000000013,True,True,-5.330632492196515e-11,True,1.1064733223763958,4.580799554638279e-05,essential_in_both
MAR07160,Deoxynucleoside triphosphate:DNA deoxynucleotidyltransferase,Nucleotide metabolism,0.0295428377074497,1.106473322376394,optimal,-6.4357818128264266e-15,-5.8164816834482505e-15,1.0000000000000058,True,True,9.338131422152977e-18,True,1.1064733223763958,0.0295428377074497,essential_in_both
MAR06664,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,-4.1590007607380604e-15,-3.758789910818359e-15,1.0000000000000038,True,True,0.0,True,1.1064733223763958,2.2837609373848807e-05,essential_in_both
MAR06634,,Retinol metabolism,4.580799554638271e-05,1.106473322376394,optimal,-3.80613356588175e-15,-3.439878295219305e-15,1.000000000000003,True,True,4.149198834062738e-15,True,1.1064733223763958,4.58079955463828e-05,essential_in_both
MAR06649,,Retinol metabolism,2.2837609373848773e-05,1.106473322376394,optimal,-1.9568035958056186e-15,-1.7685049935076189e-15,1.0000000000000018,True,True,2.0153081000769565e-15,True,1.1064733223763958,2.283760937384881e-05,essential_in_both
MAR00578,,Transport reactions,0.0200696557105919,1.106473322376394,optimal,-1.1441288528116296e-15,-1.0340320274097182e-15,1.000000000000001,True,True,0.0,True,1.1064733223763958,0.020069655710592,essential_in_both
MAR06677,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,-9.27035109933139e-16,-8.378287042132455e-16,1.0000000000000009,True,True,-3.190943462040109e-16,True,1.1064733223763958,2.283760937384881e-05,essential_in_both
MAR07861,,Transport reactions,0.0088628513122349,1.106473322376394,optimal,-8.816698092511746e-16,-7.968287995932838e-16,1.0000000000000009,True,True,0.0,True,1.1064733223763958,0.0088628513122349,essential_in_both
MAR07786,,Transport reactions,0.0223861682583192,1.106473322376394,optimal,-1.346408580047351e-16,-1.2168468528058528e-16,1.0000000000000002,True,True,2.692817160094695e-16,True,1.1064733223763958,0.0223861682583192,essential_in_both
MAR06642,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.283760937384881e-05,essential_in_both
MAR05149,L-Tryptophan -tRNA(Trp) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.0578768533102032,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.0578768533102032,essential_in_both
MAR05141,L-Leucine:tRNA(Leu) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.5380185037305627,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.5380185037305628,essential_in_both
MAR02136,,Vitamin D metabolism,2.2837609373848773e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.283760937384881e-05,essential_in_both
MAR09269,Exchange of aquacob(III)alamin,Exchange/demand reactions,-4.580799554638272e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,-4.580799554638278e-05,essential_in_both
MAR06702,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.283760937384881e-05,essential_in_both
MAR05150,L-Valine:tRNAVal ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.3939169505908729,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.393916950590873,essential_in_both
MAR07792,,Transport reactions,0.0422849844879362,1.106473322376394,optimal,0.0,0.0,1.0,True,True,-3.401531861040768e-30,True,1.1064733223763958,0.0422849844879363,essential_in_both
MAR02131,,Vitamin D metabolism,2.2837609373848773e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,7.222984070824491e-14,True,1.1064733223763958,2.283760937384881e-05,essential_in_both
MAR06701,,Retinol metabolism,2.2837609373848767e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.2837609373848807e-05,essential_in_both
MAR06700,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.2837609373848807e-05,essential_in_both
MAR06693,,Retinol metabolism,4.58079955463827e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,4.580799554638278e-05,essential_in_both
MAR02129,,Vitamin D metabolism,2.2837609373848777e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,-5.838875417839961e-14,True,1.1064733223763958,2.2837609373848807e-05,essential_in_both
MAR06692,,Retinol metabolism,4.580799554638271e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,4.580799554638279e-05,essential_in_both
MAR06691,,Retinol metabolism,-4.580799554638271e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,2.615315834383261e-19,True,1.1064733223763958,-4.580799554638278e-05,essential_in_both
MAR06690,,Retinol metabolism,-4.58079955463827e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,-4.5807995546382776e-05,essential_in_both
MAR02139,,Vitamin D metabolism,2.283760937384877e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.283760937384881e-05,essential_in_both
MAR06641,,Retinol metabolism,2.283760937384877e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,-1.097445975729683e-15,True,1.1064733223763958,2.283760937384881e-05,essential_in_both
MAR05142,L-lysine:tRNALys ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.4246271176534298,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.42462711765343,essential_in_both
MAR05143,L-Methionine:tRNAMet ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.1311087901516849,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.1311087901516849,essential_in_both
MAR07862,,Transport reactions,0.0059085675414899,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.0059085675414899,essential_in_both
MAR05145,L-Phenylalanine:tRNA(Ala) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.2173334899811713,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.2173334899811713,essential_in_both
MAR05146,L-proline:tRNA(Pro) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.3011958692673841,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.3011958692673842,essential_in_both
MAR05134,L-Aspartate:tRNA(Asp) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.3283625555150306,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.3283625555150307,essential_in_both
MAR05135,L-Cysteine:tRNA(Cys) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.1080761648547672,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.1080761648547672,essential_in_both
MAR05140,L-Isoleucine:tRNA(Ile) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.2610364200317329,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.261036420031733,essential_in_both
MAR05130,L-Tyrosine:tRNA(Tyr) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.1659530181649704,1.106473322376394,optimal,0.0,0.0,1.0,True,True,3.86444449387061e-16,True,1.1064733223763958,0.1659530181649705,essential_in_both
MAR05138,glycine:tRNA(Gly) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.4258082779250666,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.4258082779250667,essential_in_both
MAR05137,L-glutamate:tRNA(Glu) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.4624242463458075,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.4624242463458076,essential_in_both
MAR05136,L-Glutamine:tRNA(Gln) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.2527682981302753,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.2527682981302754,essential_in_both
MAR05147,L-Serine:tRNA(Ser) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.3903734697759627,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.3903734697759627,essential_in_both
MAR06703,,Retinol metabolism,2.2837609373848767e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.2837609373848804e-05,essential_in_both
MAR02135,,Vitamin D metabolism,2.2837609373848773e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.2837609373848807e-05,essential_in_both
MAR05132,L-Arginine:tRNA(Arg) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.302377029539021,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.302377029539021,essential_in_both
MAR02142,,Vitamin D metabolism,2.283760937384877e-05,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,2.2837609373848807e-05,essential_in_both
MAR07161,nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed),Nucleotide metabolism,0.1243676014351067,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.1243676014351069,essential_in_both
MAR05139,L-Histidine:tRNA(His) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.1346522709665953,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.1346522709665953,essential_in_both
MAR05148,L-Threonine:tRNA(Thr) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.3159603726628442,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.3159603726628442,essential_in_both
MAR10065,Cofactors and vitamins pool for biomass reaction,Artificial reactions,0.0013277679868516,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.0013277679868516,essential_in_both
MAR10064,Small metabolite pool for biomass reaction,Artificial reactions,0.5349798513689864,1.106473322376394,optimal,0.0,0.0,1.0,True,True,0.0,True,1.1064733223763958,0.5349798513689873,essential_in_both
