sample,scenario,reaction_id,reaction_name,subsystem,baseline_biomass,baseline_flux,ko_biomass,rel_drop,is_essential_TME,is_strong_sensitive_TME
Blood,Rich,MAR03905,ethanol:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR03907,Ethanol:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04097,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04099,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04108,acetyl adenylate:CoA acetyltransferase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04133,ATP:acetate adenylyltransferase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04281,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,1.036096799708967,0.10968042147477061,1.036096799708967,0.0,False,False
Blood,Rich,MAR04388,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04283,Acetaldehyde:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR08357,Acetaldehyde:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04379,ATP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,1.036096799708967,3.932267436459041,1.036096799708967,0.0,False,False
Blood,Rich,MAR04301,UTP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04358,ATP:pyruvate 2-O-phosphotransferase,Glycolysis / Gluconeogenesis,1.036096799708967,18.105029792032852,1.036096799708967,0.0,False,False
Blood,Rich,MAR04360,2-Oxopropanal:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04363,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),Glycolysis / Gluconeogenesis,1.036096799708967,23.640729217389904,1.0360967997089674,-4.2861749015613644e-16,False,False
Blood,Rich,MAR04365,"D-phosphoglycerate 2,3-phosphomutase",Glycolysis / Gluconeogenesis,1.036096799708967,-24.439304960254404,1.0360967997089667,2.1430874507806822e-16,False,False
Blood,Rich,MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,Glycolysis / Gluconeogenesis,1.036096799708967,24.440407056420256,1.036096799708967,0.0,False,False
Blood,Rich,MAR04370,3-Phospho-D-glyceroyl phosphate phosphohydrolase,Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.0360967997089667,2.1430874507806822e-16,False,False
Blood,Rich,MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",Glycolysis / Gluconeogenesis,1.036096799708967,0.0007013339237229995,-1.664871318818411e-15,1.0000000000000016,True,False
Blood,Rich,MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase",Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),Glycolysis / Gluconeogenesis,1.036096799708967,-24.441108390343977,1.036096799708967,0.0,False,False
Blood,Rich,MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",Glycolysis / Gluconeogenesis,1.036096799708967,-9.45802572024225,1.036096799708967,0.0,False,False
Blood,Rich,MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",Glycolysis / Gluconeogenesis,1.036096799708967,0.0,1.036096799708967,0.0,False,False
Blood,Rich,MAR04381,D-glucose-6-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,1.036096799708967,-1.288426970602856,1.036096799708967,0.0,False,False
Blood,Rich,MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,1.036096799708967,14.983483432343855,1.036096799708967,0.0,False,False
