reaction_id,reaction_name,subsystem,baseline_flux_rich,baseline_biomass_rich,ko_status,biomass_KO_rich,rel_biomass,drop_in_biomass,essential,is_essential_rich,biomass_KO_TME,is_essential_TME,baseline_biomass_TME,baseline_flux_TME,essentiality_class
MAR04269,ATP:NAD+ 2'-phosphotransferase,Nicotinate and nicotinamide metabolism,0.0003334878862207,1.14956182771874,optimal,-4.508713308165447e-12,-3.922114669650096e-12,1.0000000000039222,True,True,-2.9358360355215228e-12,True,1.14956182771874,0.000333487886221,essential_in_both
MAR05423,,Transport reactions,0.0387632248306759,1.14956182771874,optimal,-3.012438057851065e-15,-2.620509819666793e-15,1.0000000000000029,True,True,6.856189036360866e-17,True,1.14956182771874,0.0387632248306759,essential_in_both
MAR08617,Triphosphate phosphohydrolase,Miscellaneous,4.759185966755585e-05,1.14956182771874,optimal,-2.5607291671025268e-15,-2.2275697621103103e-15,1.0000000000000022,True,True,-3.927534075997744e-14,True,1.14956182771874,4.759185966755585e-05,essential_in_both
MAR06677,,Retinol metabolism,2.3726956124114797e-05,1.14956182771874,optimal,-2.126727605140771e-15,-1.8500332508092912e-15,1.0000000000000018,True,True,1.7450072657565113e-15,True,1.14956182771874,2.3726956124114797e-05,essential_in_both
MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",Glycolysis / Gluconeogenesis,0.0007781384011828,1.14956182771874,optimal,-1.5580045787591165e-15,-1.355302986922343e-15,1.000000000000001,True,True,0.0,True,1.14956182771874,0.0007781384011828,essential_in_both
MAR04204,ATP:thiamine diphosphotransferase,Thiamine metabolism,4.759185966755585e-05,1.14956182771874,optimal,-7.736778232109131e-16,-6.730197580988281e-16,1.0000000000000009,True,True,-2.8206548799858417e-11,True,1.14956182771874,4.759185966755585e-05,essential_in_both
MAR06654,,Retinol metabolism,2.3726956124114797e-05,1.14956182771874,optimal,-6.602847355979119e-16,-5.743794893644137e-16,1.0000000000000009,True,True,-3.615844980655233e-15,True,1.14956182771874,2.3726956124114797e-05,essential_in_both
MAR06634,,Retinol metabolism,4.759185966755584e-05,1.14956182771874,optimal,-7.77974781386762e-16,-6.767576676851058e-16,1.0000000000000009,True,True,-1.9373733097589822e-14,True,1.14956182771874,4.759185966755584e-05,essential_in_both
MAR06438,,Transport reactions,-4.759185966755584e-05,1.14956182771874,optimal,-3.89544078819481e-16,-3.388630949868228e-16,1.0000000000000004,True,True,-1.8665653776766683e-16,True,1.14956182771874,-4.759185966755584e-05,essential_in_both
MAR07861,,Transport reactions,0.0092079902400271,1.14956182771874,optimal,-5.135710691832924e-16,-4.46753760258771e-16,1.0000000000000004,True,True,0.0,True,1.14956182771874,0.0092079902400271,essential_in_both
MAR02143,,Vitamin D metabolism,2.3726956124114797e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,2.3726956124114797e-05,essential_in_both
MAR02144,,Vitamin D metabolism,2.3726956124114797e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,2.3726956124114797e-05,essential_in_both
MAR02145,,Vitamin D metabolism,2.372695612411479e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,2.372695612411479e-05,essential_in_both
MAR05132,L-Arginine:tRNA(Arg) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.3141522562789773,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,0.3141522562789773,essential_in_both
MAR02142,,Vitamin D metabolism,2.3726956124114797e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,2.3726956124114797e-05,essential_in_both
MAR05134,L-Aspartate:tRNA(Asp) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.3411497158029519,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,0.3411497158029519,essential_in_both
MAR06655,,Retinol metabolism,2.3726956124114797e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,2.3726956124114797e-05,essential_in_both
MAR05138,glycine:tRNA(Gly) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.4423901890178567,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,0.4423901890178567,essential_in_both
MAR05139,L-Histidine:tRNA(His) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.1398959266242321,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,0.1398959266242321,essential_in_both
MAR05141,L-Leucine:tRNA(Leu) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.5589701278713836,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,0.5589701278713836,essential_in_both
MAR05133,L-Asparagine:tRNA(Asn) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,0.230091984579329,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,0.230091984579329,essential_in_both
MAR02139,,Vitamin D metabolism,2.372695612411479e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,2.372695612411479e-05,essential_in_both
MAR08616,ATP:cob(I)alamin Co-beta-adenosyltransferase,Vitamin B12 metabolism,4.759185966755585e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,4.759185966755585e-05,essential_in_both
MAR06629,,Transport reactions,7.11808683723444e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,-3.447039276955461e-17,True,1.14956182771874,7.11808683723444e-05,essential_in_both
MAR06692,,Retinol metabolism,4.759185966755584e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,4.759185966755584e-05,essential_in_both
MAR06691,,Retinol metabolism,-4.759185966755584e-05,1.14956182771874,optimal,0.0,0.0,1.0,True,True,0.0,True,1.14956182771874,-4.759185966755584e-05,essential_in_both
